,start,snacks,store,movie,food
start,,inf,inf,inf,inf
snacks,inf,,inf,inf,inf
store,inf,inf,,89.38000000000022,113.84999999999954
movie,inf,inf,89.38000000000022,,201.3999999999972
food,inf,inf,113.84999999999954,201.3999999999972,
